Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     64.30     0.00        4     0.00     0.00  std::_Iter_base<double const*, false>::_S_base(double const*)
  0.00     64.30     0.00        4     0.00     0.00  std::_Iter_base<std::move_iterator<double*>, true>::_S_base(std::move_iterator<double*>)
  0.00     64.30     0.00        4     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00     64.30     0.00        4     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<double> >::__maxsize_helper<std::allocator<double> const>::value, unsigned long>::type std::allocator_traits<std::allocator<double> >::_S_max_size<std::allocator<double> const>(std::allocator<double> const&)
  0.00     64.30     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00     64.30     0.00        4     0.00     0.00  void std::_Construct<Electrodes>(Electrodes*)
  0.00     64.30     0.00        4     0.00     0.00  std::_Miter_base<std::move_iterator<double*> >::iterator_type std::__miter_base<std::move_iterator<double*> >(std::move_iterator<double*>)
  0.00     64.30     0.00        4     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double*, std::move_iterator<double*> >(double*)
  0.00     64.30     0.00        4     0.00     0.00  void std::_Destroy<Electrodes>(Electrodes*)
  0.00     64.30     0.00        4     0.00     0.00  operator new(unsigned long, void*)
  0.00     64.30     0.00        3     0.00     0.00  void std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     64.30     0.00        3     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     64.30     0.00        3     0.00     0.00  void std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     64.30     0.00        3     0.00     0.00  void std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00     64.30     0.00        3     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     64.30     0.00        2     0.00     0.00  Solver::del(double*)
  0.00     64.30     0.00        2     0.00     0.00  Solver::set_val(int&, int)
  0.00     64.30     0.00        2     0.00     0.07  Solver::write_2D(double*, std::string)
  0.00     64.30     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Electrodes>::~new_allocator()
  0.00     64.30     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00     64.30     0.00        2     0.00     0.00  std::initializer_list<double>::begin() const
  0.00     64.30     0.00        2     0.00     0.01  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00     64.30     0.00        2     0.00     0.00  std::allocator<Electrodes>::~allocator()
  0.00     64.30     0.00        2     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00     64.30     0.00        2     0.00     0.00  std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)
  0.00     64.30     0.00        2     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00     64.30     0.00        2     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_M_get_Tp_allocator()
  0.00     64.30     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00     64.30     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00     64.30     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00     64.30     0.00        2     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     64.30     0.00        2     0.00     0.01  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00     64.30     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00     64.30     0.00        2     0.00     0.00  std::_Miter_base<double const*>::iterator_type std::__miter_base<double const*>(double const*)
  0.00     64.30     0.00        2     0.00     0.00  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
  0.00     64.30     0.00        2     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00     64.30     0.00        2     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00     64.30     0.00        2     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     64.30     0.00        2     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
